@relation brain_tumor_classification-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C15-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C16-Llast-weka.filters.unsupervised.attribute.Remove-R15-16

@attribute contrast numeric
@attribute correlation numeric
@attribute energy numeric
@attribute homogeneity numeric
@attribute mean numeric
@attribute standard_deviation numeric
@attribute entropy numeric
@attribute rms numeric
@attribute variance numeric
@attribute smoothness numeric
@attribute kurtosis numeric
@attribute skewness numeric
@attribute idm numeric
@attribute label {BENIGN,MALIGNANT}

@data
0.0328,0.819,0.7873,0.9836,0.0028,0.0898,3.3165,0.0898,0.008,0.9135,7.7307,0.4984,0.4179,BENIGN
0.031,0.7557,0.8433,0.9845,0.0033,0.0898,3.328,0.0898,0.008,0.9253,13.4618,1.1712,0.3674,BENIGN
0.0649,0.838,0.5386,0.9675,0.0029,0.0898,3.001,0.0898,0.0081,0.9148,7.2031,0.6197,-0.05,BENIGN
0.0495,0.7611,0.7455,0.9752,0.0077,0.0895,2.9561,0.0898,0.008,0.9663,7.9415,0.923,0.9093,BENIGN
0.0567,0.8343,0.6044,0.9716,0.005,0.0897,3.6268,0.0898,0.008,0.949,6.4577,0.6046,-0.8737,BENIGN
0.0599,0.8428,0.5624,0.97,0.0037,0.0897,3.3683,0.0898,0.008,0.9317,6.2986,0.5907,0.3912,BENIGN
0.0638,0.8407,0.54,0.9681,0.0037,0.0897,3.0254,0.0898,0.0081,0.9319,7.4034,0.6668,-0.2146,BENIGN
0.0385,0.8569,0.6937,0.9807,0.0031,0.0898,3.3192,0.0898,0.008,0.9204,7.2035,0.6541,0.9732,BENIGN
0.0495,0.7611,0.7455,0.9752,0.0077,0.0895,2.9561,0.0898,0.008,0.9663,7.9415,0.923,0.9093,BENIGN
0.0937,0.7617,0.5218,0.9531,0.0042,0.0897,3.3665,0.0898,0.0081,0.9401,6.3659,0.573,-0.1892,BENIGN
0.0577,0.8255,0.615,0.9712,0.0038,0.0897,3.126,0.0898,0.0081,0.9334,6.6955,0.4667,0.5907,BENIGN
0.0346,0.7701,0.8163,0.9827,0.0044,0.0897,3.3483,0.0898,0.008,0.9421,6.8689,0.7319,-0.049,BENIGN
0.0243,0.7429,0.8819,0.9879,0.0032,0.0898,2.9846,0.0898,0.0081,0.9224,8.0215,0.6618,0.7554,BENIGN
0.0436,0.8645,0.6368,0.9782,0.0042,0.0897,3.5122,0.0898,0.008,0.9396,7.5556,0.5147,-0.8976,BENIGN
0.0521,0.7414,0.7491,0.9739,0.0049,0.0897,3.1857,0.0898,0.0081,0.9475,8.6038,0.812,0.4864,BENIGN
0.0457,0.8752,0.59,0.9771,0.0026,0.0898,3.1999,0.0898,0.008,0.9067,6.1174,0.4995,1.7516,BENIGN
0.0649,0.838,0.5386,0.9675,0.0029,0.0898,3.001,0.0898,0.0081,0.9148,7.2031,0.6197,-0.05,BENIGN
0.0331,0.8303,0.7728,0.9834,0.0035,0.0897,3.5538,0.0898,0.008,0.9292,6.2913,0.4755,2.6173,BENIGN
0.0754,0.7667,0.607,0.9623,0.006,0.0896,3.3617,0.0898,0.0081,0.9574,7.0827,0.6636,1.2979,BENIGN
0.055,0.8317,0.6214,0.9725,0.0029,0.0898,3.4413,0.0898,0.0081,0.9156,6.136,0.5487,0.2252,MALIGNANT
0.0184,0.8202,0.8797,0.9908,0.0047,0.0897,2.6538,0.0898,0.0081,0.9459,12.5584,1.0021,0.6532,MALIGNANT
0.0552,0.8333,0.617,0.9724,0.0034,0.0897,3.4554,0.0898,0.0081,0.9273,6.2316,0.5567,-0.84,MALIGNANT
0.0242,0.8825,0.7707,0.9879,0.0027,0.0898,3.5031,0.0898,0.008,0.9094,6.2009,0.3903,0.8457,MALIGNANT
