contrast,correlation,energy,homogeneity,mean,standard_deviation,entropy,rms,variance,smoothness,kurtosis,skewness,idm,label
0.0346,0.7803,0.8093,0.9827,0.0033,0.0898,3.2950,0.0898,0.0080,0.9247,7.1621,0.6889,-0.3103,BENIGN
0.0242,0.7856,0.8636,0.9879,0.0015,0.0898,2.4888,0.0898,0.0081,0.8518,17.0752,1.3466,0.3018,BENIGN
0.0187,0.8324,0.8698,0.9906,0.0035,0.0897,2.9032,0.0898,0.0081,0.9279,10.6614,0.9442,-0.5064,BENIGN
0.0279,0.7129,0.8755,0.9860,0.0031,0.0898,3.1904,0.0898,0.0080,0.9191,12.4940,1.2420,-0.2275,BENIGN
0.0305,0.8093,0.8105,0.9847,0.0027,0.0898,2.7516,0.0898,0.0081,0.9097,21.1857,1.8368,0.7666,BENIGN
0.0351,0.8046,0.7864,0.9824,0.0034,0.0898,3.2447,0.0898,0.0081,0.9264,7.3394,0.6978,-0.3183,BENIGN
0.0235,0.7390,0.8872,0.9883,0.0031,0.0898,3.3721,0.0898,0.0080,0.9191,7.6581,0.5927,0.8800,BENIGN
0.0257,0.7686,0.8637,0.9871,0.0028,0.0898,2.8042,0.0898,0.0081,0.9114,8.3203,0.7767,-0.1735,BENIGN
0.0215,0.8123,0.8647,0.9893,0.0050,0.0897,2.8138,0.0898,0.0080,0.9486,16.4121,1.5446,0.2548,BENIGN
0.0570,0.8763,0.4853,0.9715,0.0025,0.0898,3.4609,0.0898,0.0080,0.9046,6.5033,0.5224,0.0811,BENIGN
0.0394,0.8320,0.7279,0.9803,0.0060,0.0896,3.6273,0.0898,0.0080,0.9570,6.9065,0.6009,1.1286,BENIGN
0.0599,0.8428,0.5624,0.9700,0.0037,0.0897,3.3683,0.0898,0.0080,0.9317,6.2986,0.5907,0.3912,BENIGN
0.0387,0.7976,0.7716,0.9807,0.0041,0.0897,3.0274,0.0898,0.0081,0.9381,9.2540,0.9508,0.8196,BENIGN
0.0577,0.8255,0.6150,0.9712,0.0038,0.0897,3.1260,0.0898,0.0081,0.9334,6.6955,0.4667,0.5907,BENIGN
0.0346,0.7701,0.8163,0.9827,0.0044,0.0897,3.3483,0.0898,0.0080,0.9421,6.8689,0.7319,-0.0490,BENIGN
0.0229,0.8557,0.8188,0.9885,0.0021,0.0898,3.3145,0.0898,0.0080,0.8845,7.5737,0.7100,1.0833,BENIGN
0.0328,0.8190,0.7873,0.9836,0.0028,0.0898,3.3165,0.0898,0.0080,0.9135,7.7307,0.4984,0.4179,BENIGN
0.0310,0.7557,0.8433,0.9845,0.0033,0.0898,3.3280,0.0898,0.0080,0.9253,13.4618,1.1712,0.3674,BENIGN
0.0649,0.8380,0.5386,0.9675,0.0029,0.0898,3.0010,0.0898,0.0081,0.9148,7.2031,0.6197,-0.0500,BENIGN
0.0495,0.7611,0.7455,0.9752,0.0077,0.0895,2.9561,0.0898,0.0080,0.9663,7.9415,0.9230,0.9093,BENIGN
0.0567,0.8343,0.6044,0.9716,0.0050,0.0897,3.6268,0.0898,0.0080,0.9490,6.4577,0.6046,-0.8737,BENIGN
0.0599,0.8428,0.5624,0.9700,0.0037,0.0897,3.3683,0.0898,0.0080,0.9317,6.2986,0.5907,0.3912,BENIGN
0.0638,0.8407,0.5400,0.9681,0.0037,0.0897,3.0254,0.0898,0.0081,0.9319,7.4034,0.6668,-0.2146,BENIGN
0.0385,0.8569,0.6937,0.9807,0.0031,0.0898,3.3192,0.0898,0.0080,0.9204,7.2035,0.6541,0.9732,BENIGN
0.0495,0.7611,0.7455,0.9752,0.0077,0.0895,2.9561,0.0898,0.0080,0.9663,7.9415,0.9230,0.9093,BENIGN
0.0937,0.7617,0.5218,0.9531,0.0042,0.0897,3.3665,0.0898,0.0081,0.9401,6.3659,0.5730,-0.1892,BENIGN
0.0577,0.8255,0.6150,0.9712,0.0038,0.0897,3.1260,0.0898,0.0081,0.9334,6.6955,0.4667,0.5907,BENIGN
0.0346,0.7701,0.8163,0.9827,0.0044,0.0897,3.3483,0.0898,0.0080,0.9421,6.8689,0.7319,-0.0490,BENIGN
0.0243,0.7429,0.8819,0.9879,0.0032,0.0898,2.9846,0.0898,0.0081,0.9224,8.0215,0.6618,0.7554,BENIGN
0.0436,0.8645,0.6368,0.9782,0.0042,0.0897,3.5122,0.0898,0.0080,0.9396,7.5556,0.5147,-0.8976,BENIGN
0.0521,0.7414,0.7491,0.9739,0.0049,0.0897,3.1857,0.0898,0.0081,0.9475,8.6038,0.8120,0.4864,BENIGN
0.0457,0.8752,0.5900,0.9771,0.0026,0.0898,3.1999,0.0898,0.0080,0.9067,6.1174,0.4995,1.7516,BENIGN
0.0132,0.8997,0.8557,0.9934,0.0048,0.0897,2.2687,0.0898,0.0081,0.9471,31.5167,2.9993,2.0674,BENIGN
0.0649,0.8380,0.5386,0.9675,0.0029,0.0898,3.0010,0.0898,0.0081,0.9148,7.2031,0.6197,-0.0500,BENIGN
0.0076,0.8820,0.9299,0.9962,0.0051,0.0897,2.0989,0.0898,0.0080,0.9497,59.1226,5.6057,11.1432,BENIGN
0.0331,0.8303,0.7728,0.9834,0.0035,0.0897,3.5538,0.0898,0.0080,0.9292,6.2913,0.4755,2.6173,BENIGN
0.0754,0.7667,0.6070,0.9623,0.0060,0.0896,3.3617,0.0898,0.0081,0.9574,7.0827,0.6636,1.2979,BENIGN
0.0550,0.8317,0.6214,0.9725,0.0029,0.0898,3.4413,0.0898,0.0081,0.9156,6.1360,0.5487,0.2252,MALIGNANT
0.0175,0.8995,0.8083,0.9912,0.0047,0.0897,2.4532,0.0898,0.0081,0.9458,31.9286,2.9051,2.3453,MALIGNANT
0.0184,0.8202,0.8797,0.9908,0.0047,0.0897,2.6538,0.0898,0.0081,0.9459,12.5584,1.0021,0.6532,MALIGNANT
0.0552,0.8333,0.6170,0.9724,0.0034,0.0897,3.4554,0.0898,0.0081,0.9273,6.2316,0.5567,-0.8400,MALIGNANT
0.0242,0.8825,0.7707,0.9879,0.0027,0.0898,3.5031,0.0898,0.0080,0.9094,6.2009,0.3903,0.8457,MALIGNANT
0.0705,0.8129,0.5579,0.9648,0.0023,0.0898,3.4233,0.0898,0.0080,0.8934,6.4591,0.5619,0.9353,MALIGNANT
0.0422,0.7495,0.7911,0.9789,0.0038,0.0897,2.6676,0.0898,0.0081,0.9330,12.5142,1.1045,0.2567,MALIGNANT
0.0391,0.8552,0.6921,0.9804,0.0029,0.0898,3.5101,0.0898,0.0080,0.9143,5.7658,0.3885,0.3029,MALIGNANT
0.0226,0.7765,0.8770,0.9887,0.0040,0.0897,3.1567,0.0898,0.0081,0.9375,8.9549,0.7523,0.9047,MALIGNANT
0.00318,0.7688,0.8319,0.9841,0.0052,0.0897,3.094,0.0898,0.0080,0.9512,13.4267,1.3008,-0.2179,MALIGNANT
0.0232,0.7515,0.8841,0.9884,0.0060,0.0896,3.4645,0.0898,0.0080,0.9570,11.7111,1.1652,1.4316,MALIGNANT
0.0184,0.8202,0.8797,0.9908,0.0047,0.0897,2.6538,0.0898,0.0081,0.9459,12.5584,1.0021,0.6532,MALIGNANT
0.0550,0.8319,0.6211,0.9725,0.0019,0.0898,3.3818,0.0898,0.0081,0.8783,6.1454,0.5665,0.2626,MALIGNANT
